name	gc
ERCC-00002	0.5136663524976437
ERCC-00003	0.32649071358748777
ERCC-00004	0.3441682600382409
ERCC-00009	0.4725609756097561
ERCC-00012	0.5090543259557344
ERCC-00013	0.4282178217821782
ERCC-00014	0.4420030659172202
ERCC-00016	0.48459715639810425
ERCC-00017	0.5140845070422535
ERCC-00019	0.48757763975155277
ERCC-00022	0.47270306258322237
ERCC-00024	0.4626865671641791
ERCC-00025	0.5015045135406219
ERCC-00028	0.5061946902654867
ERCC-00031	0.4780316344463972
ERCC-00033	0.327893175074184
ERCC-00034	0.4916584887144259
ERCC-00035	0.5132743362831859
ERCC-00039	0.4891891891891892
ERCC-00040	0.5268817204301075
ERCC-00041	0.4536541889483066
ERCC-00042	0.3919843597262952
ERCC-00043	0.32746823069403713
ERCC-00044	0.5
ERCC-00046	0.3486590038314176
ERCC-00048	0.47681451612903225
ERCC-00051	0.34306569343065696
ERCC-00053	0.3118279569892473
ERCC-00054	0.3722627737226277
ERCC-00057	0.4975514201762977
ERCC-00058	0.5017605633802817
ERCC-00059	0.48
ERCC-00060	0.31166347992351817
ERCC-00061	0.5008802816901409
ERCC-00062	0.30791788856304986
ERCC-00067	0.4720496894409938
ERCC-00069	0.5021987686895338
ERCC-00071	0.48442367601246106
ERCC-00073	0.4709784411276949
ERCC-00074	0.34674329501915707
ERCC-00075	0.3626588465298143
ERCC-00076	0.4968847352024922
ERCC-00077	0.32967032967032966
ERCC-00078	0.500503524672709
ERCC-00079	0.4937888198757764
ERCC-00081	0.4868913857677903
ERCC-00083	0.34540117416829746
ERCC-00084	0.5030181086519114
ERCC-00085	0.48578199052132703
ERCC-00086	0.32254901960784316
ERCC-00092	0.501779359430605
ERCC-00095	0.3723608445297505
ERCC-00096	0.5094850948509485
ERCC-00097	0.361376673040153
ERCC-00098	0.5144356955380578
ERCC-00099	0.41333333333333333
ERCC-00104	0.3273986152324431
ERCC-00108	0.49021526418786693
ERCC-00109	0.4552238805970149
ERCC-00111	0.4708249496981891
ERCC-00112	0.4709507042253521
ERCC-00113	0.5047619047619047
ERCC-00116	0.5012556504269211
ERCC-00117	0.511443661971831
ERCC-00120	0.4832089552238806
ERCC-00123	0.3561643835616438
ERCC-00126	0.5053667262969589
ERCC-00130	0.45892351274787535
ERCC-00131	0.47470817120622566
ERCC-00134	0.31386861313868614
ERCC-00136	0.41529525653436594
ERCC-00137	0.49534450651769085
ERCC-00138	0.3291015625
ERCC-00142	0.49898580121703856
ERCC-00143	0.48596938775510207
ERCC-00144	0.45539033457249073
ERCC-00145	0.44337811900191937
ERCC-00147	0.364613880742913
ERCC-00148	0.48582995951417
ERCC-00150	0.4697173620457604
ERCC-00154	0.5009310986964618
ERCC-00156	0.4898785425101215
ERCC-00157	0.5014720314033366
ERCC-00158	0.3427458617332035
ERCC-00160	0.45625841184387617
ERCC-00162	0.361376673040153
ERCC-00163	0.46593001841620624
ERCC-00164	0.37084148727984345
ERCC-00165	0.5
ERCC-00168	0.341796875
ERCC-00170	0.33724340175953077
ERCC-00171	0.4772277227722772
