CD_Name	NCBI_Name	Name
CD265	TNFRSF11A	Tnfrsf11a
CD266	TNFRSF12A	Tnfrsf12a
CD267	TNFRSF13B	Tnfrsf13b
CD268	TNFRSF13C	Tnfrsf13c
CD269	TNFRSF17	Tnfrsf17
CD27	TNFRSF7	Tnfrsf7
CD270	CD	Cd
CD271	NGFR	Ngfr
CD272	BTLA	Btla
CD273	PDCD1LG2	Pdcd1lg2
CD274	CD274	Cd274
CD275	ICOSLG	Icoslg
CD276	CD276	Cd276
CD277	BTN3A1	Btn3a1
CD278	ICOS	Icos
CD279	PDCD1	Pdcd1
CD28	CD28	Cd28
CD280	MRC2	Mrc2
CD281	TLR1	Tlr1
CD282	TLR2	Tlr2
CD283	TLR3	Tlr3
CD284	TLR4	Tlr4
CD285	CD	Cd
CD286	TLR6	Tlr6
CD287	CD	Cd
CD288	TLR8	Tlr8
CD289	TLR9	Tlr9
CD29	ITGB1	Itgb1
CD290	TLR10	Tlr10
CD291	CD	Cd
CD292	BMPR1A	Bmpr1a
CD294	GPR44	Gpr44
CD295	LEPR	Lepr
CD296	ART1	Art1
CD297	ART4	Art4
CD298	ATP1B3	Atp1b3
CD299	CLEC4M	Clec4m
CD3	see	See
CD30	TNFRSF8	Tnfrsf8
CD300a	CD300A	Cd300a
CD300C	CD300C	Cd300c
CD301	CLEC10A	Clec10a
CD302	CD302	Cd302
CD303	CLEC4C	Clec4c
CD304	NRP1	Nrp1
CD305	LAIR1	Lair1
CD306	LAIR2	Lair2
CD307	FCRL5	Fcrl5
CD308	CD	Cd
CD309	KDR	Kdr
CD31	PECAM1	Pecam1
CD310	CD	Cd
CD311	CD	Cd
CD312	EMR2	Emr2
CD313	CD	Cd
CD314	KLRK1	Klrk1
CD315	PTGFRN	Ptgfrn
CD316	IGSF8	Igsf8
CD317	BST2	Bst2
CD318	CDCP1	Cdcp1
CD319	SLAMF7	Slamf7
CD320	CD320	Cd320
CD321	F11R	F11r
CD322	JAM2	Jam2
CD323	CD	Cd
CD324	CDH1	Cdh1
CD325	CDH2	Cdh2
CD326	TACSTD1	Tacstd1
CD327	SIGLEC6	Siglec6
CD328	SIGLEC7	Siglec7
CD329	SIGLEC9	Siglec9
CD32a	FCGR2A	Fcgr2a
CD32b	FCGR2B	Fcgr2b
CD32c	FCGR2C	Fcgr2c
CD33	CD33	Cd33
CD330	CD	Cd
CD331	FGFR1	Fgfr1
CD332	FGFR2	Fgfr2
CD333	FGFR3	Fgfr3
CD334	FGFR4	Fgfr4
CD335	NCR1	Ncr1
CD336	NCR2	Ncr2
CD337	NCR3	Ncr3
CD338	ABCG2	Abcg2
CD339	JAG1	Jag1
CD34	CD34	Cd34
CD340	ERBB2	Erbb2
CD344	FZD4	Fzd4
CD349	FZD9	Fzd9
CD35	CR1	Cr1
CD350	FZD10	Fzd10
CD36	CD36	Cd36
CD37	CD37	Cd37
CD38	CD38	Cd38
CD39	ENTPD1	Entpd1
CD3d	CD3D	Cd3d
CD3e	CD3E	Cd3e
CD3g	CD3G	Cd3g
CD4	CD4	Cd4
CD40	CD40	Cd40
CD41	ITGA2B	Itga2b
CD42a	GP9	Gp9
CD42b	GP1BA	Gp1ba
CD42c	GP1BB	Gp1bb
CD42d	GP5	Gp5
CD43	SPN	Spn
CD44	CD44	Cd44
CD45	PTPRC	Ptprc
CD45RA	PTPRC	Ptprc
CD45RB	PTPRC	Ptprc
CD45RC	PTPRC	Ptprc
CD45RO	PTPRC	Ptprc
CD46	MCP	Mcp
CD47	CD47	Cd47
CD48	CD48	Cd48
CD49a	ITGA1	Itga1
CD49b	ITGA2	Itga2
CD49c	ITGA3	Itga3
CD49d	ITGA4	Itga4
CD49e	ITGA5	Itga5
CD49f	ITGA6	Itga6
CD5	CD5	Cd5
CD50	ICAM3	Icam3
CD51	ITGAV	Itgav
CD52	CD52	Cd52
CD53	CD53	Cd53
CD54	ICAM1	Icam1
CD55	DAF	Daf
CD56	NCAM1	Ncam1
CD57	CD57	Cd57
CD58	CD58	Cd58
CD59	CD59	Cd59
CD6	CD6	Cd6
CD60a	carbohydrate	Carbohydrate
CD60b	carbohydrate	Carbohydrate
CD60b	carbohydrate	Carbohydrate
CD60c	carbohydrate	Carbohydrate
CD61	ITGB3	Itgb3
CD62E	SELE	Sele
CD62L	SELL	Sell
CD62P	SELP	Selp
CD63	CD63	Cd63
CD64a	FCGR1A	Fcgr1a
CD65	carbohydrate	Carbohydrate
CD65s	carbohydrate	Carbohydrate
CD66a	CEACAM1	Ceacam1
CD66b	CEACAM8	Ceacam8
CD66c	CEACAM6	Ceacam6
CD66d	CEACAM3	Ceacam3
CD66e	CEACAM5	Ceacam5
CD66f	PSG1	Psg1
CD67	see	See
CD68	CD68	Cd68
CD69	CD69	Cd69
CD7	CD7	Cd7
CD70	TNFSF7	Tnfsf7
CD71	TFRC	Tfrc
CD72	CD72	Cd72
CD73	NT5E	Nt5e
CD74	CD74	Cd74
CD75	carbohydrate	Carbohydrate
CD75s	carbohydrate	Carbohydrate
CD76	see	See
CD77	carbohydrate	Carbohydrate
CD78	deleted	Deleted
CD79a	CD79A	Cd79a
CD79b	CD79B	Cd79b
CD80	CD80	Cd80
CD81	CD81	Cd81
CD82	CD82	Cd82
CD83	CD83	Cd83
CD84	CD84	Cd84
CD85A	LILRB3	Lilrb3
CD85B	LILRB6	Lilrb6
CD85C	LILRB5	Lilrb5
CD85D	LILRB2	Lilrb2
CD85E	LILRA3	Lilra3
CD85F	LILRB7	Lilrb7
CD85G	LILRA4	Lilra4
CD85H	LILRA2	Lilra2
CD85I	LILRA1	Lilra1
CD85J	LILRB1	Lilrb1
CD85K	LILRB4	Lilrb4
CD85L	LILRP1	Lilrp1
CD85M	LILRP2	Lilrp2
CD86	CD86	Cd86
CD87	PLAUR	Plaur
CD88	C5R1	C5r1
CD89	FCAR	Fcar
CD8a	CD8A	Cd8a
CD8b	CD8B1	Cd8b1
CD9	CD9	Cd9
CD90	THY1	Thy1
CD91	LRP1	Lrp1
CD92	SLC44A1	Slc44a1
CD93	CD93	Cd93
CD94	KLRD1	Klrd1
CD95	FAS	Fas
CD96	CD96	Cd96
CD97	CD97	Cd97
CD98	SLC3A2	Slc3a2
CD99	CD99	Cd99
CD99R	CD99	Cd99
CDW12	CDw12	Cdw12
CDw145	CDw145	Cdw145
CDw198	CCR8	Ccr8
CDw199	CCR9	Ccr9
CDw210a	IL10RA	Il10ra
CDw210b	IL10RB	Il10rb
CDw293	BMPR1B	Bmpr1b
